population,minimum_age,maximum_age,gender,zipcode,geo_id
335,22,24,male,60443,8600000US60443
336,0,4,female,06478,8600000US06478
337,22,24,male,28463,8600000US28463
342,67,69,female,19971,8600000US19971
346,0,4,female,66219,8600000US66219
353,10,14,female,78575,8600000US78575
353,67,69,female,98198,8600000US98198
357,35,39,female,93514,8600000US93514
358,75,79,male,62226,8600000US62226
362,75,79,male,97401,8600000US97401
363,0,4,female,76207,8600000US76207
365,15,17,female,33184,8600000US33184
368,18,19,female,41099,8600000US41099
368,62,64,female,48334,8600000US48334
369,30,34,male,85541,8600000US85541
370,30,34,female,27249,8600000US27249
377,22,24,male,37379,8600000US37379
381,80,84,male,90703,8600000US90703
384,62,64,male,11362,8600000US11362
384,,,,41524,8600000US41524
386,60,61,female,48640,8600000US48640
388,75,79,male,15701,8600000US15701
389,62,64,female,28630,8600000US28630
392,70,74,female,22508,8600000US22508
392,35,39,female,49345,8600000US49345
398,40,44,female,24477,8600000US24477
399,70,74,male,15905,8600000US15905
400,70,74,female,15210,8600000US15210
400,40,44,female,87104,8600000US87104
401,35,39,male,16686,8600000US16686
412,60,61,female,40245,8600000US40245
413,60,61,male,33126,8600000US33126
415,67,69,female,27103,8600000US27103
416,55,59,male,18080,8600000US18080
423,25,29,male,48094,8600000US48094
426,45,49,male,60044,8600000US60044
427,35,39,female,77905,8600000US77905
430,10,14,male,63105,8600000US63105
431,5,9,female,38358,8600000US38358
432,75,79,male,32119,8600000US32119
432,45,49,female,72110,8600000US72110
433,35,39,female,94705,8600000US94705
434,55,59,male,63080,8600000US63080
434,67,69,male,85387,8600000US85387
441,85,,female,32789,8600000US32789
441,,,,50457,8600000US50457
443,60,61,female,85029,8600000US85029
443,,,male,97037,8600000US97037
457,67,69,female,32738,8600000US32738
459,60,61,female,85750,8600000US85750
460,70,74,female,29212,8600000US29212
465,62,64,female,73159,8600000US73159
473,,,,72739,8600000US72739
479,85,,female,57702,8600000US57702
487,75,79,male,37604,8600000US37604
499,0,4,female,19525,8600000US19525
501,30,34,male,45067,8600000US45067
502,67,69,female,11365,8600000US11365
506,40,44,female,82007,8600000US82007
513,62,64,female,10455,8600000US10455
518,50,54,female,94965,8600000US94965
520,55,59,female,50131,8600000US50131
524,22,24,female,75241,8600000US75241
527,15,17,female,95128,8600000US95128
528,70,74,male,20852,8600000US20852
536,40,44,male,48836,8600000US48836
537,67,69,female,11717,8600000US11717
541,30,34,male,11570,8600000US11570
543,45,49,female,53129,8600000US53129
552,,,male,68456,8600000US68456
562,,,female,68967,8600000US68967
569,22,24,female,11429,8600000US11429
569,25,29,female,16504,8600000US16504
571,15,17,female,23139,8600000US23139
572,40,44,female,31211,8600000US31211
576,15,17,male,63128,8600000US63128
582,70,74,male,29687,8600000US29687
584,35,39,female,27282,8600000US27282
587,45,49,male,46816,8600000US46816
588,70,74,male,29681,8600000US29681
593,5,9,male,42633,8600000US42633
598,,,female,63954,8600000US63954
602,75,79,male,96003,8600000US96003
602,25,29,male,98275,8600000US98275
609,0,4,male,35404,8600000US35404
609,0,4,male,98422,8600000US98422
626,40,44,male,15801,8600000US15801
628,22,24,male,43605,8600000US43605
630,30,34,male,06830,8600000US06830
630,80,84,female,23229,8600000US23229
637,50,54,female,07079,8600000US07079
637,5,9,female,77531,8600000US77531
644,55,59,female,55378,8600000US55378
646,25,29,female,76126,8600000US76126
648,45,49,male,80218,8600000US80218
658,70,74,female,94025,8600000US94025
668,25,29,male,88201,8600000US88201
673,50,54,female,91723,8600000US91723
685,40,44,female,07514,8600000US07514
687,15,17,male,46321,8600000US46321
693,62,64,male,57702,8600000US57702
695,15,17,male,53154,8600000US53154
712,30,34,male,07086,8600000US07086
712,25,29,female,32763,8600000US32763
714,55,59,male,47803,8600000US47803
730,50,54,male,70586,8600000US70586
738,55,59,male,61938,8600000US61938
741,,,female,46165,8600000US46165
756,40,44,female,02888,8600000US02888
760,30,34,female,85139,8600000US85139
772,22,24,female,06360,8600000US06360
783,0,4,female,82716,8600000US82716
784,0,4,male,74006,8600000US74006
796,5,9,female,94062,8600000US94062
803,18,19,female,70506,8600000US70506
812,,,female,25260,8600000US25260
812,35,39,female,71270,8600000US71270
829,62,64,female,31907,8600000US31907
844,30,34,male,31210,8600000US31210
865,35,39,male,87505,8600000US87505
872,,,male,28693,8600000US28693
875,30,34,male,68135,8600000US68135
879,30,34,male,95632,8600000US95632
898,10,14,female,27028,8600000US27028
911,22,24,male,52402,8600000US52402
912,30,34,female,59715,8600000US59715
936,40,44,male,58201,8600000US58201
952,80,84,female,90650,8600000US90650
963,55,59,male,28304,8600000US28304
965,40,44,female,33189,8600000US33189
982,30,34,female,93012,8600000US93012
983,15,17,male,30087,8600000US30087
993,35,39,female,48195,8600000US48195
999,70,74,male,10463,8600000US10463
1004,40,44,female,06109,8600000US06109
1011,22,24,male,87507,8600000US87507
1016,0,4,male,79905,8600000US79905
1019,,,male,14604,8600000US14604
1026,10,14,female,97266,8600000US97266
1051,35,39,female,75022,8600000US75022
1076,40,44,male,14127,8600000US14127
1080,55,59,female,29301,8600000US29301
1098,0,4,male,21401,8600000US21401
1099,55,59,female,45750,8600000US45750
1117,0,4,male,51503,8600000US51503
1139,70,74,female,01960,8600000US01960
1156,,,male,83236,8600000US83236
1171,,,male,61284,8600000US61284
1185,10,14,male,27215,8600000US27215
1204,,,male,44867,8600000US44867
1207,50,54,female,33143,8600000US33143
1247,0,4,male,80220,8600000US80220
1263,10,14,female,98661,8600000US98661
1265,45,49,male,72762,8600000US72762
1301,40,44,male,60644,8600000US60644
1304,55,59,female,20120,8600000US20120
1307,15,17,female,76028,8600000US76028
1308,25,29,male,63130,8600000US63130
1310,40,44,male,00969,8600000US00969
1312,5,9,female,76522,8600000US76522
1334,35,39,male,11358,8600000US11358
1339,50,54,female,21771,8600000US21771
1340,55,59,female,34209,8600000US34209
1351,35,39,male,10950,8600000US10950
1380,50,54,female,02184,8600000US02184
1385,40,44,female,28348,8600000US28348
1389,30,34,male,95117,8600000US95117
1403,,,,12917,8600000US12917
1409,35,39,female,29464,8600000US29464
1409,50,54,male,30519,8600000US30519
1437,45,49,male,23059,8600000US23059
1463,,,male,29101,8600000US29101
1471,40,44,female,89148,8600000US89148
1482,,,,70659,8600000US70659
1496,0,4,male,20747,8600000US20747
1521,40,44,female,10016,8600000US10016
1552,45,49,female,92584,8600000US92584
1556,45,49,female,44109,8600000US44109
1608,0,4,female,46203,8600000US46203
1635,25,29,female,77386,8600000US77386
1646,10,14,female,55303,8600000US55303
1685,,,,27305,8600000US27305
1750,,,,29726,8600000US29726
1838,0,4,male,92395,8600000US92395
1908,,,female,50124,8600000US50124
1909,50,54,female,32837,8600000US32837
1925,,,female,55349,8600000US55349
2008,10,14,female,78247,8600000US78247
2065,30,34,female,89123,8600000US89123
2099,30,34,female,27604,8600000US27604
2168,,,,75705,8600000US75705
2220,,,male,47532,8600000US47532
2244,35,39,female,85032,8600000US85032
2330,,,,42020,8600000US42020
2361,,,,65284,8600000US65284
2369,55,59,female,11209,8600000US11209
2572,35,39,male,30093,8600000US30093
2865,,,male,56164,8600000US56164
2957,,,male,55719,8600000US55719
3187,18,19,female,61761,8600000US61761
3197,,,,23069,8600000US23069
3565,,,male,24550,8600000US24550
3614,,,female,01226,8600000US01226
3922,,,,66536,8600000US66536
4246,,,male,53536,8600000US53536
4342,,,female,31537,8600000US31537
4439,,,male,99324,8600000US99324
4449,,,,72632,8600000US72632
5393,,,male,40906,8600000US40906
6089,,,,01983,8600000US01983
6420,,,female,51401,8600000US51401
6866,,,male,32176,8600000US32176
6983,,,male,42276,8600000US42276
8818,,,,24175,8600000US24175
9929,,,male,34638,8600000US34638
10016,,,female,01603,8600000US01603
12628,,,female,48340,8600000US48340
12941,,,male,20112,8600000US20112
13952,,,,55344,8600000US55344
14272,,,female,29456,8600000US29456
15970,,,female,45103,8600000US45103
16053,,,male,53402,8600000US53402
16522,,,male,19132,8600000US19132
22213,,,female,32738,8600000US32738
24425,,,,01843,8600000US01843
24476,,,,76708,8600000US76708
26435,,,,33705,8600000US33705
26533,,,female,77015,8600000US77015
27669,,,,91324,8600000US91324
35600,,,male,77429,8600000US77429
95397,,,,92335,8600000US92335
