population,minimum_age,maximum_age,gender,zipcode,geo_id
8,80,84,female,39877,8600000US39877
8,21,21,male,47038,8600000US47038
8,80,84,male,51019,8600000US51019
8,10,14,female,54832,8600000US54832
8,30,34,male,57522,8600000US57522
8,20,20,female,61272,8600000US61272
8,0,4,male,65446,8600000US65446
8,35,39,female,78369,8600000US78369
8,35,39,female,97522,8600000US97522
9,21,21,female,13454,8600000US13454
9,55,59,male,50857,8600000US50857
9,18,19,male,56289,8600000US56289
9,60,61,male,56292,8600000US56292
9,10,14,female,57232,8600000US57232
9,62,64,female,58046,8600000US58046
9,20,20,male,68767,8600000US68767
9,45,49,male,68952,8600000US68952
9,65,66,female,74939,8600000US74939
9,15,17,male,80420,8600000US80420
9,15,17,male,93641,8600000US93641
9,35,39,female,97364,8600000US97364
10,80,84,female,12859,8600000US12859
10,45,49,female,15520,8600000US15520
10,21,21,female,15747,8600000US15747
10,85,,female,30446,8600000US30446
10,60,61,male,38957,8600000US38957
10,35,39,male,43961,8600000US43961
10,85,,female,44866,8600000US44866
10,80,84,male,54125,8600000US54125
10,25,29,male,54485,8600000US54485
10,75,79,female,56035,8600000US56035
10,65,66,female,58741,8600000US58741
10,67,69,female,62268,8600000US62268
10,10,14,female,62478,8600000US62478
10,80,84,female,63102,8600000US63102
10,35,39,female,64639,8600000US64639
10,60,61,female,70631,8600000US70631
10,40,44,male,71441,8600000US71441
10,21,21,male,73773,8600000US73773
10,70,74,female,74565,8600000US74565
10,25,29,female,97843,8600000US97843
10,5,9,male,99778,8600000US99778
11,0,4,female,04675,8600000US04675
11,18,19,male,05669,8600000US05669
11,75,79,male,12412,8600000US12412
11,20,20,female,12865,8600000US12865
11,10,14,male,13162,8600000US13162
11,25,29,male,24139,8600000US24139
11,80,84,male,29584,8600000US29584
11,18,19,male,42236,8600000US42236
11,10,14,female,45032,8600000US45032
11,40,44,female,52225,8600000US52225
11,15,17,male,59241,8600000US59241
11,75,79,female,59925,8600000US59925
11,65,66,male,60928,8600000US60928
11,85,,female,62421,8600000US62421
11,65,66,male,72351,8600000US72351
